Name,Contact_Number,Gender,Age ,10th_percentage,Tenthth_Board,12th_percentage,12th_board,12th_field,Degree_Field,Degree_Percentage,History_Of_Backlogs,English_Test_Percentage,Department_Applied_To,MBA_Grade,Work_Experience,Salary_expectations_per_month
COOK,7060436016,M,24,60.4,Central,66.6,Others,Science,MBA,65,0,71,Mkt&HR,52.71,0,3
MORGAN,7063905334,M,21,63,Others,71.4,Others,Science,BTECH,61.4,0,68,Teaching,66.88,2,3
BELL,9453798592,M,22,68,Central,76,Central,Science,BTECH,74,0,80,Teaching,63.59,1,2
MURPHY,6691475536,M,22,74,Central,62,Others,Science,BTECH,68,0,74,Teaching,57.99,2,1
BAILEY,7778317943,M,21,52.6,Central,65.58,Others,Science,BTECH,72.11,0,57.6,Teaching,56.66,0,4
RIVERA,6755139045,M,22,74,Central,70,Central,Science,BTECH,72,1,60,Teaching,57.24,0,1
COOPER,7222774565,M,21,84.2,Central,73.4,Central,Science,BTECH,66.89,0,61.6,Teaching,62.48,0,2
RICHARDSON,8101265746,F,21,86.5,Others,64.2,Others,Science,BTECH,67.4,0,59,Teaching,59.69,1,3
COX,8324648814,M,24,61,Others,70,Others,Commerce,MBA,64,0,68.5,Mkt&HR,59.5,0,1
HOWARD,8073818949,M,22,80,Others,73,Others,Science,BTECH,75,0,61,Teaching,58.78,0,3
WARD,9350840954,M,26,54,Others,47,Others,Science,MBA,57,0,89.69,Mkt&HR,57.1,1,2
TORRES,8255966433,M,26,83,Others,74,Others,Science,MBA,66,0,68.92,Mkt&HR,58.46,1,3
PETERSON,8087705008,M,21,80.92,Others,78.5,Others,Science,BTECH,67,0,68.71,Teaching,60.99,0,5
GRAY,7041447594,F,26,69.7,Central,47,Central,Commerce,MBA,72.7,0,79,Mkt&HR,59.24,1,5
RAMIREZ,7747483983,M,22,73,Central,73,Central,Science,BTECH,66,1,70,Teaching,68.07,1,3
JAMES,6637234535,M,22,82,Others,61,Others,Science,BTECH,62,0,89,Teaching,65.45,1,1
WATSON,6480750205,M,22,75,Others,70.29,Others,Science,BTECH,71,0,95,Teaching,66.94,1,2
BROOKS,6397532061,M,22,84.86,Others,67,Others,Science,BTECH,78,0,95.5,Teaching,68.53,1,3
KELLY,8824384601,M,22,64.6,Central,83.83,Others,Science,BTECH,71.72,0,86,Teaching,59.75,1,1
SANDERS,8386586909,M,21,56.6,Central,64.8,Central,Science,BTECH,70.2,0,84.27,Teaching,67.2,1,1
PRICE,7601483179,F,24,59,Central,62,Others,Commerce,MBA,77.5,0,74,Mkt&HR,67,0,2
BENNETT,8927524098,F,22,66.5,Others,70.4,Central,Science,BTECH,71.93,0,61,Teaching,64.27,1,5
WOOD,8097538693,M,22,64,Others,80,Others,Science,BTECH,65,1,69,Teaching,57.65,0,3
BARNES,9109145125,M,21,84,Others,90.9,Others,Science,BTECH,64.5,0,86.04,Teaching,59.42,0,1
ROSS,7301574550,F,24,69,Central,62,Central,Science,MBA,66,0,75,Mkt&HR,67.99,0,2
HENDERSON,9454718987,F,24,69,Others,62,Others,Commerce,MBA,69,0,67,Mkt&HR,62.35,0,1
COLEMAN,7731098337,M,21,81.7,Others,63,Others,Science,BTECH,67,0,86,Teaching,70.2,1,3
JENKINS,6731126732,M,21,63,Central,67,Central,Science,BTECH,74,0,82,Teaching,60.44,2,2
PERRY,8307585357,M,21,84,Others,79,Others,Science,BTECH,68,0,84,Teaching,66.69,0,4
POWELL,6470507705,M,22,70,Central,63,Others,Science,BTECH,70,0,55,Teaching,62,1,1
LONG,8566141584,F,21,83.84,Others,89.83,Others,Science,BTECH,77.2,0,78.74,Teaching,76.18,0,4
PATTERSON,7638424875,M,22,62,Others,63,Others,Science,BTECH,64,0,67,Teaching,57.03,1,1
HUGHES,8235411800,M,26,59.6,Central,51,Central,Science,MBA,60,0,75,Mkt&HR,59.08,1,5
FLORES,8779947684,F,24,66,Central,62,Central,Commerce,MBA,73,0,58,Mkt&HR,64.36,0,2
WASHINGTON,8693457615,F,24,84,Others,75,Others,Science,MBA,69,0,62,Mkt&HR,62.36,0,3
BUTLER,8988205706,F,22,85,Others,90,Others,Science,BTECH,82,1,92,Teaching,68.03,0,5
SIMMONS,7202297350,M,24,52,Central,57,Central,Commerce,MBA,50.8,0,67,Mkt&HR,62.79,0,5
FOSTER,8889928723,F,22,60.23,Central,69,Central,Science,BTECH,66,0,72,Teaching,59.47,0,3
GONZALES,8606489021,M,26,52,Central,62,Central,Commerce,MBA,54,0,72,Mkt&HR,55.41,1,5
BRYANT,9396140245,M,21,58,Central,62,Central,Science,BTECH,64,0,53.88,Teaching,54.97,0,2
RUSSELL,7630554904,F,21,76,Central,70,Central,Science,BTECH,76,0,66,Teaching,64.44,1,1
GRIFFIN,8321770336,F,21,70.5,Central,62.5,Others,Science,BTECH,61,0,93.91,Teaching,69.03,1,4
DIAZ,9101621275,F,22,69,Central,73,Central,Science,BTECH,65,0,70,Teaching,57.31,1,1
HAYES,7962324718,M,21,54,Central,82,Others,Science,BTECH,63,0,50,Teaching,59.47,3,5
MYERS,8838566950,F,24,45,Others,57,Others,Commerce,MBA,58,0,56.39,Mkt&HR,64.95,0,1
FORD,8236874487,M,24,63,Central,72,Central,Commerce,MBA,68,0,78,Mkt&HR,60.44,0,3
HAMILTON,7403108540,F,21,77,Others,61,Others,Science,BTECH,68,0,57.5,Teaching,61.31,3,5
GRAHAM,7752152327,M,26,73,Central,78,Central,Science,MBA,73,0,85,Mkt&HR,65.83,1,4
SULLIVAN,9248588328,M,24,69,Central,63,Others,Science,MBA,65,0,55,Mkt&HR,58.23,0,2
WALLACE,6959433046,M,26,59,Central,64,Others,Science,MBA,58,0,85,Mkt&HR,55.3,1,1
WOODS,7406671383,M,22,61.08,Others,50,Others,Science,BTECH,54,0,71,Teaching,65.69,1,5
COLE,6632247345,M,27,82,Others,90,Others,Commerce,MBA,83,0,80,Mkt&HR,73.52,2,3
WEST,6844644013,M,22,61,Central,82,Central,Science,BTECH,69,1,84,Teaching,58.31,1,5
JORDAN,9045870518,M,24,52,Central,63,Others,Science,MBA,65,0,86,Mkt&HR,56.09,0,3
OWENS,6419894713,F,24,69.5,Central,70,Central,Science,MBA,72,0,57.2,Mkt&HR,54.8,0,2
REYNOLDS,9021040954,M,24,51,Others,54,Others,Science,MBA,61,1,60,Mkt&HR,60.64,0,4
FISHER,9082762620,M,24,58,Others,61,Others,Commerce,MBA,61,0,58,Mkt&HR,53.94,0,2
ELLIS,6999199641,F,22,73.96,Others,79,Others,Science,BTECH,67,0,72.15,Teaching,63.08,1,1
HARRISON,9137981871,M,26,65,Central,68,Others,Science,MBA,69,0,53.7,Mkt&HR,55.01,1,5
GIBSON,8762087891,F,22,73,Others,63,Others,Science,BTECH,66,0,89,Teaching,60.5,0,4
MCDONALD,6383014454,M,21,68.2,Central,72.8,Central,Science,BTECH,66.6,0,96,Teaching,70.85,0,1
CRUZ,7076919956,M,22,77,Others,75,Others,Science,BTECH,73,0,80,Teaching,67.05,0,4
ORTIZ,7610937270,M,21,60.8,Central,68.4,Central,Science,BTECH,64.6,0,82.66,Teaching,64.34,1,3
GOMEZ,6794560298,M,27,58,Others,40,Others,Science,MBA,59,0,73,Mkt&HR,58.81,2,2
MURRAY,6952921778,F,27,64,Central,67,Others,Science,MBA,69.6,0,55.67,Mkt&HR,71.49,2,5
FREEMAN,9518762911,F,22,66.5,Central,66.8,Central,Science,BTECH,69.3,0,80.4,Teaching,71,0,4
WELLS,8725660616,M,26,74,Others,59,Others,Commerce,MBA,73,0,60,Mkt&HR,56.7,1,2
WEBB,8188091282,M,24,67,Central,71,Central,Science,MBA,64.33,0,64,Mkt&HR,61.26,0,2
SIMPSON,8468797991,F,22,84,Central,73,Central,Commerce,,73,0,75, ,73.33,0,2
STEVENS,7925789286,F,21,79,Others,61,Others,Science,BTECH,75.5,0,70,Teaching,68.2,0,4
TUCKER,8062286721,F,24,72,Others,60,Others,Science,MBA,69,0,55.5,Mkt&HR,58.4,0,3
PORTER,7124578814,M,27,80.4,Central,73.4,Central,Science,MBA,77.72,0,81.2,Mkt&HR,76.26,2,5
HUNTER,8984739726,M,22,76.7,Central,89.7,Others,Science,BTECH,66,0,90,Teaching,68.55,1,2
HICKS,9075736958,M,22,62,Central,65,Others,Science,BTECH,60,1,84,Teaching,64.15,1,4
CRAWFORD,9179942083,F,22,74.9,Others,57,Others,Science,BTECH,62,0,80,Teaching,60.78,1,3
,,,,,,,,,,,,,,,,
BOYD,8409420747,M,26,73,Central,64,Others,Commerce,MBA,77,0,65,Mkt&HR,60.98,1,1
MASON,8359858131,F,22,77.44,Central,92,Others,Science,BTECH,72,1,94,Teaching,67.13,2,3
MORALES,6572860663,F,24,72,Central,56,Others,Science,MBA,69,0,55.6,Mkt&HR,65.63,0,3
KENNEDY,9215715586,F,21,47,Central,59,Central,Science,BTECH,64,0,78,Teaching,61.58,2,3
WARREN,7314781800,M,26,67,Others,63,Central,Commerce,MBA,72,0,56,Mkt&HR,60.41,1,4
DIXON,9575692879,F,21,82,Others,64,Others,Science,BTECH,73,0,96,Teaching,71.77,1,5
RAMOS,8296166530,M,21,77,Central,70,Central,Science,BTECH,59,0,58,Teaching,54.43,1,3
REYES,9421872948,M,22,65,Central,64.8,Others,Science,BTECH,69.5,0,56,Teaching,56.94,1,1
BURNS,7993653511,M,24,66,Central,64,Central,Science,MBA,60,0,60,Mkt&HR,61.9,0,5
GORDON,7012229280,M,22,85,Central,60,Others,Science,BTECH,73.43,0,60,Teaching,61.29,0,4
SHAW,8257683293,M,21,77.67,Others,64.89,Others,Science,BTECH,70.67,0,89,Teaching,60.39,0,5
HOLMES,9292504720,M,21,52,Others,50,Others,Science,BTECH,61,0,60,Teaching,58.52,1,3
RICE,9435090266,M,24,89.4,Others,65.66,Others,Science,MBA,71.25,0,72,Mkt&HR,63.23,0,2
ROBERTSON,9291186143,M,26,62,Central,63,Others,Science,MBA,66,0,85,Mkt&HR,55.14,1,3
HUNT,7884442625,M,21,70,Central,74,Central,Science,BTECH,65,1,83,Teaching,62.28,0,2
BLACK,6911281050,F,22,77,Central,86,Central,Science,BTECH,56,0,57,Teaching,64.08,1,2
DANIELS,6471191445,M,24,44,Central,58,Central,Arts,MBA,55,0,64.25,Mkt&HR,58.54,0,5
PALMER,6798741343,M,21,71,Central,58.66,Central,Science,BTECH,58,0,56,Teaching,61.3,1,1
MILLS,6457546017,M,22,65,Central,65,Central,Science,BTECH,75,0,83,Teaching,58.87,0,4
NICHOLS,8372018233,F,22,75.4,Others,60.5,Central,Science,BTECH,84,0,98,Teaching,65.25,0,2
GRANT,9072017481,M,21,49,Others,59,Others,Science,BTECH,65,0,86,Teaching,62.48,3,4
KNIGHT,9247817577,M,21,53,Central,63,Others,Science,BTECH,60,0,70,Teaching,53.2,0,4
FERGUSON,7277243588,M,25,51.57,Others,74.66,Others,Commerce,MBA,59.9,0,56.15,Mkt&HR,65.99,0,2
ROSE,7152866758,M,26,84.2,Central,69.4,Central,Science,MBA,65,0,80,Mkt&HR,52.72,1,4
STONE,8730709253,M,21,66.5,Central,62.5,Central,Science,BTECH,60.9,0,93.4,Teaching,55.03,0,1
HAWKINS,6597294199,M,22,67,Others,63,Others,Science,BTECH,64,0,60,Teaching,61.87,1,2
DUNN,9042990603,M,25,52,Central,49,Others,Commerce,MBA,58,1,62,Mkt&HR,60.59,0,4
PERKINS,8956365455,M,25,87,Central,74,Central,Science,MBA,65,0,75,Mkt&HR,72.29,0,3
HUDSON,8408810242,M,26,55.6,Others,51,Others,Commerce,MBA,57.5,0,57.63,Mkt&HR,62.72,1,3
SPENCER,6824497565,M,22,74.2,Central,87.6,Others,Science,BTECH,77.25,0,75.2,Teaching,66.06,1,5
GARDNER,6821662328,M,21,63,Others,67,Others,Science,BTECH,64,0,75,Teaching,66.46,1,1
STEPHENS,7049056360,F,21,67.16,Central,72.5, ,Science,BTECH,63.35,0,53.04,Teaching,65.52,1,1
PAYNE,8190936123,F,21,63.3,Central,78.33,Others,Science,BTECH,74,1,80,Teaching,74.56,0,4
PIERCE,8366929319,M,25,62,Others,62,Others,Commerce,MBA,60,0,63,Mkt&HR,52.38,0,1
BERRY,9177957935,M,22,67.9,Others,62,Others,Science,BTECH,67,0,58.1,Teaching,75.71,0,4
MATTHEWS,8088265155,F,27,48,Central,51,Central,Commerce,MBA,58,0,60,Mkt&HR,58.79,2,3
ARNOLD,8374770740,M,25,59.96,Others,42.16,Others,Science,MBA,61.26,0,54.48,Mkt&HR,65.48,0,3
WAGNER,7757535284,F,25,63.4,Others,67.2,Others,Commerce,MBA,60,0,58.06,Mkt&HR,69.28,0,5
WILLIS,7701188708,M,22,80,Others,80,Others,Science,BTECH,72,0,63.79,Teaching,66.04,0,5
RAY,8194407917,M,26,73,Others,58,Others,Commerce,MBA,56,0,84,Mkt&HR,52.64,1,1
WATKINS,7034476962,F,26,52,Others,52,Others,Science,MBA,55,0,67,Mkt&HR,59.32,1,1
OLSON,9198822498,M,22,73.24,Others,50.83,Others,Science,BTECH,64.27,1,64,Teaching,66.23,1,3
CARROLL,7832172711,M,25,63,Others,62,Others,Science,MBA,65,0,87.5,Mkt&HR,60.69,0,5
DUNCAN,6677440450,F,26,59,Central,60,Others,Commerce,MBA,56,0,55,Mkt&HR,57.9,1,2
SNYDER,9486362530,F,22,73,Central,97,Others,Science,BTECH,79,0,89,Teaching,70.81,2,4
HART,8489368323,M,26,68,Others,56,Others,Science,MBA,68,0,73,Mkt&HR,68.07,1,3
CUNNINGHAM,8222983228,F,25,77.8,Central,64,Central,Science,MBA,64.2,0,75.5,Mkt&HR,72.14,0,3
BRADLEY,7938894732,M,21,65,Central,71.5,Others,Science,BTECH,62.8,0,57,Teaching,56.6,2,3
LANE,7059113809,M,25,62,Central,60.33,Others,Science,MBA,64.21,0,63,Mkt&HR,60.02,0,1
ANDREWS,8473401834,M,22,52,Others,65,Others,Science,BTECH,57,1,75,Teaching,59.81,0,4
RUIZ,9407103513,M,25,65,Central,77,Central,Commerce,MBA,69,0,60,Mkt&HR,61.82,0,5
HARPER,6606690687,F,25,56.28,Others,62.83,Others,Commerce,MBA,59.79,1,60,Mkt&HR,57.29,0,3
FOX,8506353832,F,25,88,Central,72,Central,Science,MBA,78,0,82,Mkt&HR,71.43,1,4
RILEY,7339823169,F,21,52,Central,64,Central,Science,BTECH,61,0,55,Teaching,62.93,1,4
ARMSTRONG,6424003543,M,22,78.5,Central,65.5,Central,Science,BTECH,67,0,95,Teaching,64.86,0,3
CARPENTER,7423186843,M,21,61.8,Others,47,Others,Science,BTECH,54.38,0,57,Teaching,56.13,1,3
WEAVER,8812406911,F,22,54,Central,77.6,Others,Science,BTECH,69.2,0,95.65,Teaching,66.94,0,4
GREENE,7238837915,F,22,64,Others,70.2,Central,Science,BTECH,61,0,50,Teaching,62.5,1,2
ELLIOTT,6357971252,M,22,65.2,Central,61.4,Central,Commerce,,64.8,0,93.4, ,57.34,2,5
CHAVEZ,7119213526,F,25,60,Central,63,Central,Arts,MBA,56,0,80,Mkt&HR,56.63,0,2
SIMS,9061422073,M,21,52,Others,55,Others,Science,BTECH,56.3,1,59,Teaching,64.74,2,2
AUSTIN,7437946460,M,25,66,Central,76,Central,Commerce,MBA,72,0,84,Mkt&HR,58.95,1,3
PETERS,7974646141,M,22,72,Others,63,Others,Science,BTECH,77.5,1,78,Teaching,54.48,1,4
KELLEY,8656358888,F,25,83.96,Others,53,Others,Science,MBA,91,1,59.32,Mkt&HR,69.71,0,2
FRANKLIN,8210493118,F,25,67,Central,70,Central,Commerce,MBA,65,0,88,Mkt&HR,71.96,1,3
LAWSON,8915305623,M,25,69,Others,65,Others,Commerce,MBA,57,0,73,Mkt&HR,55.8,0,2
FIELDS,9079183747,M,21,69,Others,60,Others,Science,BTECH,65,0,87.55,Teaching,52.81,0,1
GUTIERREZ,9219969113,M,25,54.2,Central,63,Others,Science,MBA,58,0,79,Mkt&HR,58.44,1,3
RYAN,8166039899,M,25,70,Central,63,Central,Science,MBA,66,0,61.28,Mkt&HR,60.11,1,5
SCHMIDT,7659448853,M,25,55.68,Others,61.33,Others,Commerce,MBA,56.87,0,66,Mkt&HR,58.3,0,1
CARR,8039763670,F,22,74,Others,73,Others,Science,BTECH,73,0,80,Teaching,67.69,1,5
VASQUEZ,7459373944,M,22,61,Others,62,Others,Science,BTECH,65,0,62,Teaching,56.81,0,5
CASTILLO,8504631378,M,22,41,Central,42,Central,Science,BTECH,60,0,97,Teaching,53.39,1,1
WHEELER,9211502835,M,22,83.33,Central,78,Others,Science,BTECH,61,0,88.56,Teaching,71.55,0,5
CHAPMAN,6467860741,F,25,43,Central,60,Others,Science,MBA,65,0,92.66,Mkt&HR,62.92,0,5
OLIVER,7024537332,M,21,62,Central,72,Central,Science,BTECH,65,0,67,Teaching,56.49,0,3
MONTGOMERY,6410853835,M,22,80.6,Others,82,Others,Science,BTECH,77.6,0,91,Teaching,74.49,0,2
RICHARDS,9467920238,M,21,58,Others,60,Others,Science,BTECH,72,0,74,Teaching,53.62,2,3
WILLIAMSON,8886129445,M,21,67,Others,67,Others,Science,BTECH,73,1,59,Teaching,69.72,0,1
JOHNSTON,9546494657,F,25,74,Others,66,Others,Commerce,MBA,58,0,70,Mkt&HR,60.23,0,3
BANKS,8982583138,M,25,62,Central,58,Others,Science,MBA,53,0,89,Mkt&HR,60.22,1,3
MEYER,6962738849,M,25,63,Others,67,Others,Science,MTECH,80,0,72,Technical,,0,5
BISHOP,7312229966,F,25,41,Central,90,Others,Science,MTECH,70,0,69,Technical,,0,2
MCCOY,6599074237,F,25,61,Central,38,Central,Science,MTECH,60,0,90,Technical,,1,4
HOWELL,6649291952,M,25,49,Central,94,Central,Science,MTECH,80,0,47,Technical,,0,2
ALVAREZ,8950003056,M,25,44,Central,57,Central,Science,MED,80,1,76,Teaching,,0,1
MORRISON,6627582912,M,22,30,Others,85,Others,Science,BTECH,60,1,71,Teaching,64,0,2
HANSEN,6842958493,M,21,80,Others,48,Others,Science,BTECH,70,0,88,Teaching,50,0,3
FERNANDEZ,7920325843,M,25,61,Central,57,Central,Science,MED,70,1,40,Teaching,,1,4
GARZA,7300877168,M,21,62,Central,0,Central,Science,BTECH,60,0,64,Teaching,59,2,5
HARVEY,6577202063,F,21,47,Central,7,Central,Science,BTECH,60,0,38,Teaching,83,1,1
LITTLE,8012042497,M,21,49,Central,17,Central,Science,BED,70,0,58,Teaching,,1,2
BURTON,8669564256,F,22,50,Central,4,Central,Science,BTECH,80,0,40,Teaching,39,1,5
STANLEY,7905423188,F,27,72,Central,83,Others,Science,MBA,60,0,65,Mkt&HR,93,2,1
NGUYEN,7398738297,M,21,42,Central,92,Central,Science,BED,80,0,78,Teaching,,1,5
GEORGE,7551269315,F,21,73,Central,56,Central,Science,BTECH,80,0,50,Teaching,40,2,2
JACOBS,6760797636,M,22,76,Central,23,Central,Science,BTECH,80,0,69,Teaching,58,0,3
REID,6779635897,F,22,71,Central,29,Central,Science,BTECH,70,0,88,Teaching,89,1,1
KIM,7909565231,M,20,58,Central,81,Central,Science,BED,60,0,18,Teaching,,0,4
FULLER,6694014364,M,21,73,Central,95,Central,Science,BTECH,70,0,46,Teaching,61,1,5
LYNCH,8471414389,M,22,65,Others,57,Others,Science,BTECH,70,1,54,Teaching,92,1,2
DEAN,6672570176,M,22,27,Others,16,Others,Science,BTECH,80,0,66,Teaching,79,0,1
GILBERT,7181055758,M,21,71,Others,27,Others,Science,BED,60,0,65,Teaching,,1,2
GARRETT,7439363278,M,21,43,Others,59,Others,Science,BBA,70,0,44,Mkt&HR,,0,5
ROMERO,8588475940,M,22,79,Others,32,Others,Science,BBA,70,0,69,Mkt&HR,,1,3
WELCH,8867098346,M,25,78,Others,37,Others,Science,MBA,70,0,74,Mkt&HR,39,0,3
LARSON,7474739122,M,20,65,Others,6,Central,Science,BED,80,0,73,Teaching,,0,3
FRAZIER,6901503666,M,22,63,Others,83,Others,Science,BTECH,80,0,69,Teaching,67,1,2
BURKE,6486751636,M,21,58,Others,81,Others,Science,BED,80,0,67,Teaching,,1,4
HANSON,6416763225,M,21,65,Others,50,Others,Science,BED,80,1,70,Teaching,,1,3
DAY,9306113609,M,21,79,Central,89,Central,Science,BTECH,60,0,62,Teaching,72,0,5
MENDOZA,6402345440,M,21,68,Central,45,Central,Science,BED,80,0,69,Teaching,,1,1
MORENO,8709214751,M,25,85,Central,83,Central,Science,MBA,70,0,63,Mkt&HR,38,1,1
BOWMAN,8296587991,F,21,60,Central,29,Central,Science,BTECH,70,0,56,Teaching,76,1,3
MEDINA,9589524725,M,25,98,Others,38,Others,Science,MBA,70,0,40,Mkt&HR,88,0,5
FOWLER,7091213114,M,22,58,Others,30,Others,Science,BBA,60,0,97,Mkt&HR,,1,5
BREWER,8336378450,M,21,87,Central,69,Central,Science,BTECH,60,0,81,Teaching,82,1,5
HOFFMAN,7695826297,M,25,66,Central,24,Central,Science,MED,70,1,74,Teaching,,0,5
CARLSON,9129386304,M,25,52,Central,41,Central,Science,MBA,80,0,50,Mkt&HR,54,1,2
SILVA,8103343509,M,25,70,Others,72,Others,Science,MBA,60,0,75,Mkt&HR,40,1,2
PEARSON,9390416962,M,25,77,Others,80,Others,Science,MBA,80,1,57,Mkt&HR,40,0,2
HOLLAND,8843353243,M,25,62,Central,19,Others,Science,MED,60,1,55,Teaching,,1,4
